Sentence,Label
10 februari 2011 finnish media compani sanoma oyj hel saa1v said yesterday it 2010 net profit almost tripl to eur297 .3 m from eur107 .1 m for 2009 and announc a propos for a rais payout .,1
"a helsinki eliiv today report ep of eur1 .13 for 2009 , an increas over ep of eur1 .12 in 2008 .",1
"commiss incom increas by 22 % to eur 4.4 mn , and lend volum rose by 13.5 % .",1
"in januari , traffic , measur in revenu passeng kilometr rpk , went up by 3.2 % and capac , measur in avail seat kilometr ask , rose by 12.2 % .",1
"in januaryseptemb 2010 , fiskar net profit went up by 14 % yearonyear to eur 65.4 million and net sale to eur 525.3 million from eur 487.7 million .",1
"net incom from life insur rose to eur 16.5 mn from eur 14.0 mn , and net incom from nonlif insur to eur 22.6 mn from eur 15.2 mn in 2009 .",1
sale have risen in other export market .,1
sale increas due to grow market rate and increas oper .,1
the agreement strengthen our longterm partnership with nokia siemen network .,1
"the compani s order book stood at 1.5 bln euro 2.2 bln on septemb 30 , 2007 , up by 24.2 pct on the year , with intern order amount to 365 mln euro 534.3 mln .",1
"the compani said that paper demand increas in all of it main market , includ of public paper , and that it increas averag paper price by 4 percent compar with last year .",1
"the world s second largest stainless steel maker said net profit in the threemonth period until dec. 31 surg to euro603 million us 781 million , or euro3 .33 us 4.31 per share , from euro172 million , or euro0 .94 per share , the previou year .",1
"share of standard charter stan rose 1.2 % in the ftse 100 , while royal bank of scotland rb share rose 2 % and barclay share barc bc were up 1.7 % .",1
share of nokia corp. rose thursday after the cell phone maker said it thirdquart earn almost doubl and it share of the global handset market increas .,1
"in it financi report , publish on friday , seb said it net profit soar to sek6 .745 bn in 2010 from a yearearli sek1 .114 bn and propos a 50 % dividend increas to sek1 .50 per share .",1
"at the request of finnish media compani alma media s newspap , research manag jari kaivooja at the finland futur research centr at the turku school of econom ha drawn up a futur scenario for finland s nation economi by use a model develop by the univers of denver .",0
stock exchang announc 20 juli 2006 1 1 baswar share subscript with warrant and increas in share capit a total of 119 850 share have been subscrib with baswar warrant program .,0
"a maximum of 666,104 new share can further be subscrib for by exercis b option under the 2004 stock option plan .",0
tiimari oper 194 store in six countri includ it core finnish market and gener a turnov of 76.5 mln eur in 2005 .,0
the acquisit will consider increas kemira s sale and market posit in the russian metal industri coat market .,1
"in januaryseptemb 2007 , finnlin net sale rose to eur 505.4 mn from eur 473.5 mn in the correspond period in 2006 .",1
"adjust for chang in the group structur , the divis s net sale increas by 1.7 % .",1
"4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v saw it net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 ,000 for the same period of 2009 .",1
finnish aktia group s oper profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .,1
finnish bank of land s consolid net oper profit increas from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .,1
"finnish financi group aktia report oper profit of eur 44.4 mn in januaryseptemb 2009 , up from eur 37.3 mn in the correspond period in 2008 .",1
"finnish high technolog provid vaahto group report net sale of eur 41.8 mn in the account period septemb 2007 februari 2008 , an increas of 11.2 % from a year earlier .",1
net sale of finnish food industri compani lnnen tehtaat s continu oper increas by 13 % in 2008 to eur 349.1 mn from eur 309.6 mn in 2007 .,1
biohit alreadi servic mani current genesi custom and the custom base is expect to expand as a result of thi agreement .,1
"both oper profit and turnov for the threemonth period increas , respect from eur0 .9 m and eur8 .3 m , as compar to the correspond period in 2005 .",1
circul revenu ha increas by 5 % in finland and 4 % in sweden in 2008 .,1
cloth chain seppl s net sale increas by 7.0 % to eur 30.8 mn .,1
construct volum meanwhil grow at a rate of 1015 percent annual .,1
"howev , biohit estim it total net sale will continu to grow in 2009 , and that favour trend in net sale will lead to a profit in 2009 .",1
"in 2009 , fiskar cash flow from oper activ amount to eur121m , up from eur97m in the previou year .",1
"in lithuania , oper profit rose to eur 190,000 from eur 70,000 in the correspond period in 2005 .",1
"in the fourth quarter of 2008 , net sale increas by 2 % to eur 1,050.7 mn from eur 1,027.0 mn in the fourth quarter of 2007 .",1
"intern sale rose by 59.8 % to eur 1,244.4 mn .",1
net sale grew in the period to x20ac 402 million 585u million from x20ac 401 million in 2006 .,1
net sale increas to eur655m in april to june 2010 from eur438m a year earlier .,1
"net sale rose by 25.5 % yearonyear to eur59 .6 m , as the number of charger deliv went up by 41 % to 65.9 million piec .",1
"net sale total eur 93.6 mn , up from eur 93.2 mn in the correspond period in 2005 .",1
oper profit increas by 145.1 % to eur 8.3 mn from eur 3.4 mn .,1
oper profit margin increas from 11.2 % to 11.7 % .,1
oper profit rose to eur 3.11 mn from eur 1.22 mn in the correspond period in 2009 .,1
oper profit rose to eur 5mn from eur 2.8 mn in the fourth quarter of 2008 .,1
"oper profit wa eur 24.5 mn , up from eur 23.0 mn .",1
"ramir s net sale in the second quarterend june 30 were euro 128.7 million about u.s. 163 million , a 3.3percent increas compar with euro 124.6 million for thesecond quarter last year .",1
"revenu grew by 2 percent to x20ac 580 million 743 million , from x20ac 569 million .",1
"ruukki s deliveri volum and sell price show favour develop and the compani s compar net sale grew by 50 % yearonyear to eur647m , ceo sakari tamminen said .",1
"the compani s consolid oper profit amount to eur 15.86 mn , up from eur 4.14 mn yearonyear .",1
the depart store divis report an increas in sale of 4 per cent .,1
the fair valu of the compani s invest properti grew to eur 2.803 billion at the end of march 2009 from eur 2.691 million a year ago .,1
"the last quarter wa the best quarter of 2009 in net sale , and the oper margin rose to 12.2 % .",1
"the major breweri increas their domest beer sale by 4.5 per cent last year , to 256.88 million litr from 245.92 million litr in 2004 .",1
oper profit rose by 26.9 % to eur 105.8 83.4 million .,1
21 octob 2010 finnish fish tackl compani rapala vmc corp hel rap1v said today it net profit rose to eur18 .9 m for the first nine month of 2010 from eur15 .1 m for the same period a year earlier .,1
"accord to finnish metso miner , the valu of the compani s order ha gone up to eur 1.9 bn in 12 month .",1
finnish bank of land report it oper profit rose to eur 21.3 mn in the second quarter of 2009 from eur 6.1 mn in the correspond period in 2008 .,1
finnish financi group aktia s oper profit for 2009 increas to eur 47.0 mn from eur 6.6 mn in 2008 .,1
finnish forest machineri manufactur ponss s net sale grew to eur 51.3 mn in the first quarter of 2010 from eur 37.5 mn in the correspond period in 2009 .,1
finnish kci konecran ha rais it net sale growth estim for 2006 from over 25 % to over 35 % .,1
"accord to hkscan finland , the plan is to increas jrvisuomen portti s net sale to eur 80mn to eur 100mn .",1
"advertis and circul revenu grew by 3.4 % and by 0.4 % , respect .",1
"at the end of march 2007 , the group s order book wa at eur 39.6 mn , up 42 % from the correspond period in 2006 .",1
"at the same time profit of the compani increas by 10 % in h1 and reach ls 79,000 .",1
"both oper profit and net sale for the 12month period increas , respect from eur10 .5 m and eur28 .8 m , as compar to the financi year 2004 .",1
"both oper profit and net sale for the 12month period increas , respect from eur20 .8 m and eur177 .7 m , as compar to the financi year 2004 .",1
"both oper profit and net sale for the 12month period increas , respect from eur21 .5 m and eur196 .1 m , as compar to 2005 .",1
"both oper profit and net sale for the 12month period increas , respect from eur4 .7 m and eur26 .7 m , as compar to 2004 .",1
"both oper profit and net sale for the ninemonth period increas , respect by 26.6 % and 3.4 % , as compar to the correspond period in 2006 .",1
"both oper profit and net sale for the sixmonth period increas , respect , from eur13 .8 m and eur143 .6 m , as compar to the correspond period in 2007 .",1
"both oper profit and net sale for the sixmonth period increas , respect from eur0 .4 m and eur3 .2 m , as compar to the correspond period in 2005 .",1
"both oper profit and net sale for the sixmonth period increas , respect from eur18 .1 m and eur127 .6 m , as compar to the correspond period in 2006 .",1
"both oper profit and net sale for the sixmonth period increas , respect from eur7 .5 m and eur655 .5 m , as compar to the correspond period in 2005 .",1
"both oper profit and net sale for the threemonth period increas , respect from eur15 .1 m and eur131 .5 m , as compar to the correspond period in 2005 .",1
"both oper profit and net sale for the threemonth period increas , respect from eur16 .0 m and eur139m , as compar to the correspond quarter in 2006 .",1
"both oper profit and sale for the threemonth period increas , respect from eur0 .3 m and eur13 .1 m , as compar to the correspond period in 2005 .",1
"both oper profit and turnov for the ninemonth period increas , respect from eur2 .4 m and eur43 .8 m , as compar to the correspond period a year ago .",1
"both oper profit and turnov for the sixmonth period increas , respect , from eur17 .6 m and eur1149 .9 m , as compar to the correspond period in 2007 .",1
"both oper profit and turnov for the sixmonth period increas , respect from eur0 .1 m and eur29 .0 m , as compar to the correspond period a year ago .",1
cargo volum increas by approxim 5 % .,1
"compar oper profit total eur 854mn , up from eur 730mn in 2004 .",1
"digia said it consolid net sale for januaryjun 2010 were eur67 .8 m , up 9.7 % on the same period in 2009 eur61 .9 m .",1
dilut earn per share ep rose to eur 0.29 from eur 0.05 .,1
dilut earn per share ep rose to eur 0.52 versu eur 0.09 .,1
dilut earn per share ep rose to eur 1.05 from eur 0.64 .,1
dilut earn per share ep rose to eur 3.68 from eur 0.50 .,1
dilut ep rose to eur3 .68 from eur0 .50 .,1
ebit margin wa up from 1.4 % to 5.1 % .,1
"ep from continu oper came in at 0.30 eur , up from 0.17 .",1
"equiti ratio wa 60.9 % compar to 54.2 % in the third quarter of 2007 , net sale of the frozen food busi total eur 11.0 , up by about 5 % from the third quarter of 2006 .",1
"eur928 ,000 in q1 2010 6 may 2010 finnish textil and cloth design compani marimekko oyj hel mmo1v said today it net profit rose to eur928 ,000 in the first quarter of 2010 from eur13 ,000 in the correspond period a year earlier .",1
"finlandbas elcoteq se , a privat held provid of electron manufactur servic to commun compani , said thursday it sign a longterm manufactur suppli deal with commun equip compani andrew corp. .",1
finnish cutleri and hand tool maker fiskar oyj abp hel fisa said today it net profit rose to eur 24.1 million usd 33.6 m in the third quarter of 2010 from eur 17.9 million a year earlier .,1
finnish depart store chain stockmann oyj abp net profit rose to 39.8 mln euro 56.8 mln for the first nine month of 2007 from 37.4 mln euro 53.4 mln for the same period of 2006 .,1
"finnish lift equip maker konecran oyj said on juli 30 , 2008 that it net profit rose to 71.2 mln euro 111.1 mln for the first half of 2008 from 57.1 mln euro 89.1 mln for the same period of 2007 .",1
finnish metal industri solut supplier outotec oyj net profit rose to 50.4 mln euro 72.5 mln for the first nine month of 2007 from 20.1 mln euro 28.9 mln for the same period of 2006 .,1
finnish metal product compani componenta oyj net profit rose to 26.1 mln euro 35.9 mln for the first quarter of 2007 from 5.3 mln euro 7.3 mln for the same period of 2006 .,1
finnish offic suppli and comput accessori dealer belttongroup plc said it net profit rose to 1.3 mln euro 1.7 mln in 2006 from 1.13 mln euro 1.5 mln in 2005 .,1
"finnish secur and privaci softwar solut develop stonesoft oyj said on januari 7 , 2008 that the preliminari sale of it stoneg product grew by 59 pct yearonyear to 3.6 mln euro 5.3 mln for the fourth quarter of 2007 .",1
"finnish silicon wafer technolog compani okmet oyj omx helsinki okm1v report on thursday 7 august an oper profit of eur5 .3 m for the period januaryjun 2008 , up from eur3 .3 m in the correspond period in 2007 .",1
finnish softwar develop done solut oyj said it net profit increas to 3.5 mln euro 4.6 mln in 2006 from 2.3 mln euro 3.0 mln in 2005 .,1
first quarter underli oper profit rose to 41 mln eur from 33 mln a year earlier .,1
"for the first nine month of 2010 , the compani s net profit rose to eur41m from eur30m for the correspond period of 2009 .",1
"helsinki afx retail and wholesal group kesko report net sale of 659.4 mln eur for februari , an increas of 10.8 pct yearonyear .",1
"howev , net sale in 2010 are seen to have grown to eur598 .3 m from eur582 .3 m in 2009 .",1
"howev , sale return to growth in apriljun 2010 , ceo pekka eloholma said .",1
"raguti , which is control by the finnish breweri , report a 5.4percent rise in beer sale to 10.44 million litr and held an 11.09percent market share .",1
"svyturysuteno alu , which is control by the nordic group baltic beverag hold bbh , post a 4.7percent growth in beer sale for januarymay to 46.22 million litr .",1
"in decemb alon , the member of the lithuanian brewer associ sold a total of 20.3 million liter of beer , an increas of 1.9 percent from the sale of 19.92 million liter in decemb 2004 .",1
"in januaryseptemb 2009 , the group s net interest incom increas to eur 112.4 mn from eur 74.3 mn in januaryseptemb 2008 .",1
"in q1 of 2010 , bank of land s net interest incom increas from eur 9.1 mn to eur 9.7 mn .",1
"in sweden , oper profit for the period under review total eur 3.4 mn , up 30.8 % from the correspond period in 2005 .",1
"in the fourth quarter of 2009 , orion s net profit went up by 33.8 % yearonyear to eur33m .",1
"in the second quarter of 2010 , the group s net profit rose to eur 3.1 million from eur 2.5 million in apriljun 2009 .",1
"in the second quarter of 2010 , the group s net profit rose to eur3 .1 m from eur2 .5 m in apriljun 2009 .",1
"in the third quarter , net sale increas by 12 % yearonyear to eur 159.5 million , or by 6 % at compar currenc rate growth .",1
"in the third quarter , net sale increas by 12 % yearonyear to eur159 .5 m , or by 6 % at compar currenc rate growth .",1
it market share widen to 48.51 percent from 48.31 percent a year earlier .,1
"kesko agro eesti , the retail and wholesal of grain , agricultur and wareh machineri and accessori , had net sale of 81 million euro in 2007 , an increas by onetenth over the preced year .",1
"kesko s car import and retail busi , vvauto , saw sale grow by 17.1 pct .",1
kone s net sale rose by some 14 % yearonyear in the first nine month of 2008 .,1
"adp news feb 11 , 2009 finnish manag softwar solut provid ixono oyj hel xns1v said today it net profit rose to eur 3.5 million usd 4.5 m for 2008 from eur 3.1 million for 2007 .",1
"adp news feb 12 , 2009 finnish it solut provid affecto oyj hel afe1v said today it net profit rose to eur 8.5 million usd 11m in 2008 from eur 7 million in 2007 .",1
"adp news feb 6 , 2009 finnish fish tackl compani rapala vmc corp hel rap1v said today it net profit rose to eur 19.2 million usd 24.6 m for 2008 from eur 17.5 million for 2007 .",1
"adp news nov 5 , 2008 finnish electron measur product and solut maker vaisala oyj omx vaia said today that it net profit rose to eur 18 million usd 23.1 m for the first nine month of 2008 from eur 1",1
"adp news oct 29 , 2008 finnish lift equip maker konecran oyj omx kcr1v said today that it net profit rose to eur 116.6 million usd 149.1 m in the first nine month of 2008 from eur 73.6 million for the s",1
"metso expect it net sale to increas by about 10 % in 2008 , at compar exchang rate .",1
net interest incom increas by 4.5 % to eur 31.4 mn from eur 30.0 mn in 2004 .,1
"net interest incom wa eur 152.2 mn , up from eur 101.0 mn in 2008 .",1
"net interest incom wa eur 39.3 mn , up from eur 32.7 mn .",1
net sale of the veget oil busi rose to eur 10.6 mn from eur 10.1 mn .,1
"nokia multimedia s net sale total eur 5.7 bn , up 45 % from the correspond period in 2005 .",1
oper incom rose to eur 696.4 mn from eur 600.3 mn in 2009 .,1
"oper profit of kauppalehti group rose to eur 1.5 mn from eur 1.3 mn , and that of marketplac to eur 1.3 mn from eur 1.0 mn in the third quarter of 2006 .",1
oper profit rose from eur 1.94 mn to eur 2.45 mn .,1
oper profit rose to 22.1 mln eur from 19.9 mln .,1
oper profit rose to eur 1.6 mn from eur 1.1 mn in the correspond period in 2006 .,1
oper profit rose to eur 103.4 mn from eur 23.2 in the correspond period in 2006 .,1
oper profit rose to eur 13.5 mn from eur 9.7 mn in the correspond period in 2006 .,1
oper profit rose to eur 26.7 mn from eur 14.9 mn in the correspond period in 2006 .,1
oper profit rose to eur 27.8 mn from eur 17.5 mn in 2008 .,1
oper profit rose to eur 3.2 mn from eur 1.0 mn in the correspond period in 2008 .,1
oper profit rose to eur 4.7 mn from eur 3.6 mn .,1
oper profit rose to eur 4.7 mn from eur 4.6 mn .,1
oper profit rose to eur 9.2 mn from eur 6.8 mn in the correspond period in 2007 .,1
oper profit rose to eur2 .4 m from eur1 .6 m year earlier .,1
"oper profit surg to eur21m from eur106 ,000 .",1
"oper profit total eur 37,7 mn , up slightli from eur 37.2 mn in the correspond period in 2006 .",1
"oper profit total eur 5.5 mn , up from eur 0.7 mn .",1
"oper profit wa eur 11.4 mn , up from eur 7.5 mn .",1
"oper profit wa eur 139.7 mn , up 23 % from eur 113.8 mn .",1
"order intak grew by 40 % yearonyear and 30 % yearonyear , respect , to eur 576 million and eur 1.7 billion for the respect januaryseptemb and julyseptemb 2010 period .",1
order receiv grew by 55 % yearonyear to eur732m .,1
orion pharma s oper profit increas by 42.5 % from 2004 .,1
passeng volum rose by 8.4 % in the account period .,1
passengerrel revenu rose by 5.1 % to eur 460.8 mn from eur 438.5 mn in 2009 .,1
pretax profit rose to eur 0.6 mn from eur 0.4 mn in the correspond period in 2005 .,1
"pretax profit rose to eur 1,019 mn from eur 1,007 in the correspond period in 2005 .",1
pretax profit rose to eur 17.8 mn from eur 14.9 mn in 2005 .,1
"pretax profit total eur 397.4 mn , up from eur 164.7 mn .",1
"profit for the period total eur 39.4 mn , up from eur 33.9 mn in the correspond period in 2006 .",1
"profit for the period wa eur 5.9 mn , up from eur 1.3 mn .",1
"profit for the period wa eur 9.8 mn , up from eur 6.0 mn in 2004 .",1
revenu grew 12 percent to x20ac 3.6 billion us 4.5 billion .,1
"revenu in juli to septemb grew 14 percent to euro 467 million from a year earlier , the compani said thursday .",1
revenu at the same time grew 14 percent to 43 million euro .,1
"sale in latin america increas by 42 % to eur 432mn , and a total of 8.7 mn mobil devic were sold in the area , repres an increas of 32 % from the correspond period in 2009 .",1
sanoma magazin finland s net sale grew to eur 140.1 mn from eur 131.8 mn .,1
"satama s net profit for the third quarter of 2007 rose to 275,000 euro 395,000 from 270,000 euro 388,000 for the same period of 2006 .",1
"section region news the demand in finnair s asian traffic , measur in passeng kilomet , wa up 34.9 % in august compar to last year .",1
"svyturysuteno alu , which is control by the nordic group baltic beverag hold bbh , post a 6.1 percent growth in beer sale for januaryseptemb to 101.99 million liter .",1
that would be an increas from estim sale of 117 million last year .,1
"the chain post sale of 298 million euro for full 2005 , a rise of 19.5 percent , yearonyear .",1
the compani expect it net sale in 2008 to increas 510 % from 2007 .,1
"the compani s oper incom ebit total eur 0.0 mn , up from eur 0.3 mn yearonyear .",1
the ep outlook wa increas by 5.6 pct for 2007 and 7.0 pct for 2008 .,1
"the fair valu of the invest properti total eur 2,534.9 mn , up from eur 2,455.1 mn in 2006 .",1
"the finnish govern announc wednesday that it sold a 32 percent stake in chemic and fertil group kemira oyj for x20ac 655.6 million 890u million , send the compani s share price up 6 percent .",1
"the helsinkibas compani , which also own the salomon , atom and suunto brand , said net profit rose 15 percent in the three month through dec. 31 to x20ac 47 million 61u million , from x20ac 40.8 million a year earlier .",1
the oper profit for grain trade increas to eur 2.0 mn from eur 1.4 mn in 2005 .,1
the stock rose for a second day on wednesday bring it twoday rise to gbx12 .0 or 2.0 % .,1
the stock rose for a third day on tuesday bring it threeday rise to gbx10 .50 or 1.8 % .,1
the transact would increas earn per share in the first quarter by some eur0 .28 .,1
total oper revenu grew by 27.6 % yearonyear to eur61m .,1
vacon s cash flow from oper grew to eur 37.1 mn from eur 21.9 mn a year ago .,1
"baswar s product sale grew strongli in the financi period , by 24 percent .",1
1 februari 2011 finnish textil and cloth compani marimekko oyj hel mmo1v said today it preliminari oper profit grew to eur8 .2 m in 2010 from eur6 .3 m in 2009 .,1
affecto expect it net sale for the whole 2010 to increas from the 2009 level when they reach eur 103 million .,1
cash flow from oper rose to eur 52.7 mn from eur 15.6 mn in 2007 .,1
commiss incom rose by 25.7 % to eur 16.1 mn from eur 12.8 mn in 2004 .,1
"earn per share for januaryjun 2010 were eur0 .30 , an increas of 20 % yearonyear eur0 .25 .",1
earn per share ep rose to eur 0.11 from eur 0.03 .,1
"elisa said mobil subscript grew 7 percent dure 2007 , mainli becaus of custom adopt socal third gener mobil technolog .",1
"ep for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",1
ep grew to 0.04 eur from 0.02 eur .,1
export grew 16.5 percent to 19.1 million liter .,1
"finnish invest group panostaja oyj said it net profit went up to 8.6 mln euro 11.4 mln in fiscal 200506 , end octob 31 , 2006 , from 2.8 mln euro 3.7 mln in the same period of fiscal 200405 .",1
finnish metal compon supplier componenta oyj said it net profit went up to 3.5 mln euro 4.5 mln in 2006 from 2.2 mln euro 2.8 mln in 2005 .,1
"finnish silicon wafer technolog compani okmet oyj omx helsinki okm1v report on thursday 30 octob an oper profit of eur7 .4 m for januaryseptemb 2008 , up from eur6 .1 m in the correspond period in 2007 .",1
"fiskar brand report net sale of eur 145.8 mn , up from eur 138.4 mn .",1
"howev , the proport of the paid stand order grew in 2009 .",1
"in januaryseptemb 2007 , the group s net sale from continu oper rose to eur 213.1 mn from eur 172.6 mn in the correspond period in 2006 .",1
"in julyseptemb 2008 , yit s net sale increas to eur 970.8 mn , compar to eur 906.8 mn in the correspond period in 2007 .",1
"in the report period , net sale rose by 8 % yearonyear to eur64 .3 m , due to the busi acquisit realiz dure the first half of 200809 , the effect of which wa eur10 .9 m in the review period .",1
"in the report period , the compani s oper profit grew by 43.2 % to eur 6 million .",1
last year s net sale rose to eur 68.3 million from eur 62.2 million .,1
"last year the compani rais it turnov to approxim 7 million lita eur 2 mln , from 6.1 million lita in 2004 .",1
marimekko group s fullyear net sale are estim to increas by about 10 % .,1
net sale surg by 30 % to eur 36 million .,1
"nevertheless , it market share rose to 49.14 percent from 48.51 percent a year earlier .",1
"octoberdecemb sale were 302 mln eur , or a 25.3 pct increas year on year .",1
"olvi , which control a 94 percent stake in raguti through a. le coq , said in it annual report publish earlier thi year that the lithuanian breweri s sale reach 15.04 million euro last year , a rise of 20.4 percent from 12.49 million euro in 2004 .",1
olvi expect sale and market share to increas in the first quarter of 2010 .,1
oper profit increas to eur 14.0 mn from eur 4.9 mn in the correspond period in 2005 .,1
oper profit of the asian plant grew markedli .,1
"oper profit total eur 825mn , up from eur 763mn in 2004 .",1
"oper profit total eur 83.0 mn , up from eur 23.5 mn yearonyear .",1
product capac will increas from 36 000 to 85 000 tonn per year and the raw materi will continu to be recycl paper and board .,1
profit for the period increas from eur 2.9 mn to eur 10.5 mn .,1
"profit per share wa eur 1.03 , up from eur 0.87 .",1
return on capit employ rose by 4.8 percentag point to 19.6 % .,1
"revenu from juli to septemb grew 21 percent to euro 2.3 billion , the finnish compani said thursday .",1
revenu grew 1 percent to euro742 .2 million us 964 million from euro735 million .,1
ruukki s order book at the end of 2010 wa 30 % up yearonyear and 10 % up quarteronquart .,1
sale in finland rose by 3.9 % and intern growth wa 0.7 % .,1
sale of secur and system packag increas slightli .,1
stora enso s thirdquart pretax profit doubl to eur 197mn .,1
the compani s market share is continu to increas further .,1
"the compani s schedul traffic , measur in revenu passeng kilometr rpk , grew by just over 2 % and nearli 3 % more passeng were carri on schedul flight than in februari 2009 .",1
"the dispos of autotank will also strengthen aspo s capit structur , comment gustav nyberg , ceo of aspo .",1
"the earn per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",1
the econom occup rate of sponda s properti portfolio rose to 91.2 % from 88.8 % in 2006 .,1
the group s 12month oper profit grew 31 percent to 337.8 million euro .,1
the growth of net sale in the first half of 2008 ha been 28 % compar with the first half of 2007 .,1
the pretax profit of the group s life insur busi increas to eur 36 million from eur 27 million .,1
the pretax profit of the group s life insur busi increas to eur36m from eur27m .,1
"the total deliveri volum of paper busi in 2010 wa 1,155,000 tonn , up from 1,132,000 tonn in 2009 .",1
the valu of the firm s forestri hold increas by sek 3.6 bn .,1
turnov rose to eur21m from eur17m .,1
finnish talvivaara mine co hel tlv1v said thursday it had pick bofa merril lynch and jpmorgan nyse jpm as joint bookrunn of it plan issu of convert note worth up to eur250m usd332m .,0
"the mall is part of the baltic pearl develop project in the citi of st petersburg , where baltic pearl cjsc , a subsidiari of shanghai foreign joint invest compani , is develop home for 35,000 peopl .",0
vacon control a further 5 % of the compani via invest fund power fund i. eur 1.0 usd 1.397,0
4 complet name of the sharehold otto henrik bernhard nyberg 5 further inform the amount of share now transfer correspond to 5.68 % of the total number of share in aspo plc . .,0
"a data process unit collect the data , calcul rvr valu and provid the data to user via variou interfac .",0
"german commerzbank ag s hamburg branch and us jp morgan nyse jpm particip as arrang , and dutch ing am inga as coarrang .",0
increas in the number of share is base on the option right which were grant to the manag of the compani under the stock option plan 2006 .,0
it ha some 30 offic worldwid and more than 90 pct of it net sale are gener outsid finland .,0
it has80 branch in finland with annual revenu in finland of ?,0
nokia messag 1.1 enabl custom to receiv email from up to 10 email account on their mobil phone support all pop or imap email servic .,0
share repurchas 11.01.2008 in the helsinki stock exchang on behalf of sampo plc dansk bank as helsinki branch,0
"the contract valu amount to about eur11m , the compani ad .",0
aldata said that there are still a number of oper aspect to be defin between it and microsoft and further detail of the product and market initi result from thi agreement will be avail at a later date .,0
"alexandria , va. , may 16 kenneth bower of vista , calif. , ha develop an ornament design for a handset , the u.s. patent trademark offic announc .",0
"biohit oyj develop , manufactur and market liquid handl product and diagnost test system for use in research , healthcar and industri laboratori .",0
"mr ashley , deputi execut chairman of sport direct , sold a 43pc stake in the compani for more than pound 900m at the time of the float .",0
rental of build equip account for 88 percent of the oper incom .,0
"ruukki s deliveri includ steel structur , includ instal , for krakeroy bascul bridg and steel pile for the bridg foundat .",0
stockmann wa establish in 1862 in finland and it becam the first foreign compani to enter russia s retail trade market in 1989 .,0
